recipe_id,recipe_name,Serving Unit
1,Almonds,pieces
2,Walnut,pieces
3,Strawberries,cup
4,Soaked Almonds,pieces
5,Small Tomato,whole
6,Small banana,whole fruit
7,Banana,whole fruit
8,Small apple,whole fruit
9,Apple,whole fruit
10,Apple(medium size),whole fruit
11,Sesame Seeds,tbsp
12,Papaya,small bowl
13,Pomegranate,small bowl
14,Orange (medium size),whole fruit
15,Orange,whole fruit
16,Medium Orange,whole fruit
18,Watermelon,small bowl
19,1 teaspoon fenugreek / methi seeds soaked overnight in water,tbsp
20,Cucumber salad,small bowl
21,Curd,small bowl
22,Curd (skimmed milk),small bowl
23,Curd (thick),small bowl
24,Guava,whole fruit
25,Guava (medium size),whole fruit
26,Lukewarm Water (Lemon),glass
27,Egg white omlette,Egg White
28,Omlette,Egg White
29,Spinach,small bowl
30,Grilled chicken,pieces
31,Sprout stuffed roti (no ghee),Roti/Chapati
32,Coriander mint chutney,tbsp
33,Buttermilk,cup
34,Mixed vegetable salad,small bowl
35,Bhindi,small bowl
36,Roti (without ghee),Roti/Chapati
37,Channa Dal,small bowl
38,tea,cup
39,Bhel chaat,small bowl
40,Carrot & lettuce salad,small bowl
41,Paneer (low fat) & capsicum bhurji,small bowl
42,Poha,small bowl
43,Masoor Dal,small bowl
44,Cabbage vegetable,small bowl
45,coffee,cup
46,Roasted channa,small bowl
47,Beans vegetable,small bowl
48,"Besan cheela with onion, carrot & coriander",pieces
49,White choley,small bowl
50,Boiled rice,small bowl
52,Palak dal,small bowl
53,Green Tea,cup
54,Jeera water,glass
62,Oats porridge with cinnamon,small bowl
63,Rajma,small bowl
64,Channa dal with lauki,small bowl
65,Green Chutney,tbsp
66,Hard boiled eggs,egg white
67,Roasted Makhana,small bowl
68,Beetroot Raita,small bowl
69,Chole Chaat,small bowl
70,Soya-chilli Capsicum,small bowl
71,Idli,pieces
72,Sambar with vegetable,small bowl
73,Roasted peas,small bowl
74,"Tomato, Cucumber & low-fat paneer sandwich",pieces
75,"Kala channa sprouts salad with onion, tomato, cucumber",small bowl
76,Yellow dal,small bowl
77,"Mix vegetable pulao (carrot,beans, cauliflower)",small bowl
78,Soyabean & capsicum vegetable,small bowl
79,"Green gram sprouts (with onion, tomato, cucumber & coriander)",small bowl
80,Green gram dal,small bowl
81,Gobi alu,small bowl
82,Bhel puri with boiled moong dal mix,small bowl
83,Paneer (low fat) tikka masala,small bowl
84,Mix vegetable,small bowl
85,Palak paneer,small bowl
86,Dhokla,pieces
87,Moong dal,small bowl
88,Dal Paratha,pieces
89,Sprouts lettuce salad,small bowl
90,Missi Roti,Roti/Chapati
92,Curd rice,small bowl
93,Milk Tea (without sugar),cup
